,name,artist,album,track_number,Artist,storeId
584,Rip & Tear - Re-Recorded,['L.A. Guns'],'80s Metal Essentials,9.0,['L.A. Guns'],Tolelsm25q4qdrdhum7nbdi7hpu
585,Cum on Feel the Noize - Re-Recorded,['Quiet Riot'],'80s Metal Essentials,10.0,['Quiet Riot'],Tuglrrbtr574g6bqpgh2jd5fwly
586,Wait - Original Studio Demo,['White Lion'],'80s Metal Essentials,11.0,['White Lion'],Tkb5yj6skioxdppqyaoyey3jud4
587,Save Yourself,"['Michael Schenker', ' Robin McAuley']",'80s Metal Essentials,12.0,"['Michael Schenker', ' Robin McAuley']",Tn5hcuk4dkf533fkzy6bc6stg5e
588,Still Lovin' You,"['Steve Whitman', ' George Lynch']",'80s Metal Essentials,13.0,"['Steve Whitman', ' George Lynch']",Tygoxhcqmjjat3qwdygsmhxtk7i
589,Cherry Bomb,"['Cherie Currie', ' Marky Ramone', ' Wayne Kramer']",'80s Metal Essentials,14.0,"['Cherie Currie', ' Marky Ramone', ' Wayne Kramer']",Ti56qgskcocmekilohodrao7heq
590,Feel the Shake - Re-Recorded,['Jetboy'],'80s Metal Essentials,15.0,['Jetboy'],T72xgtqq4t2pzo7wlfepro2cqpa
591,Save Your Love - Re-Recorded,['Great White'],'80s Metal Essentials,16.0,['Great White'],Tq2hgl3f7yh6pjsvoscqemnrb3u
592,Round & Round,['Stephen Pearcy'],'80s Metal Essentials,18.0,['Stephen Pearcy'],Tp4v4pgw6imfrvqixajb2rstbga
593,Finding My Way,"['Sebastian Bach', ' Michael Schenker']",'80s Metal Essentials,19.0,"['Sebastian Bach', ' Michael Schenker']",T6jaumtqa2lfnhi3lzzzhs4qug4
594,Killing Time,"['Axl Rose', ' Izzy Stradlin']",'80s Metal Essentials,20.0,"['Axl Rose', ' Izzy Stradlin']",Tymagkajmplpmp2agnpujyzshse
595,The Ballad of Jayne - Re-Recorded,['L.A. Guns'],'80s Metal Essentials,21.0,['L.A. Guns'],Tkg47e6cr2mxymufikob3lkhsem
596,Fly High Michelle,['Enuff ZNuff'],'80s Metal Essentials,22.0,['Enuff ZNuff'],Tvfqkgg3rhunellipbjdnjjhfpe
597,Stone Cold,"['Joe Lynn Turner', ' Vivian Campbell']",'80s Metal Essentials,25.0,"['Joe Lynn Turner', ' Vivian Campbell']",Twczj3d6mqjufixy77dwu5ietye
598,Something to Believe In,['Bret Michaels'],'80s Metal Essentials,26.0,['Bret Michaels'],Tcqd4aylbo6chn6fpqifr56ojru
599,Leather Boyz with Electric Toyz - Re-Recorded,['Pretty Boy Floyd'],'80s Metal Essentials,28.0,['Pretty Boy Floyd'],Tlajwfc53ykzbvfzfupie4zsio4
600,Leather Boyz with Electric Toyz - Re-Recorded,['Pretty Boy Floyd'],'80s Metal Essentials,28.0,['Pretty Boy Floyd'],Tlajwfc53ykzbvfzfupie4zsio4
601,Someone Like You - Re-Recorded,['Bang Tango'],'80s Metal Essentials,29.0,['Bang Tango'],Tavjuz4hk7p63zyu66o2kzmul64
602,See You Again (feat. Charlie Puth),"['Wiz Khalifa', ' Charlie Puth']",See You Again (feat. Charlie Puth),1.0,"['Wiz Khalifa', ' Charlie Puth']",Tckf4y76j77a7gpbnni2m3wrzqa
603,Show Me How to Live,['Audioslave'],Audioslave,2.0,['Audioslave'],Tabda5tzj2oc2swipsw2znml3sq
604,The Fighter (Gym Class Heroes Feat. Ryan Tedder Tribute),['The Dream Team'],The Fighter (Gym Class Heroes feat. Ryan Tedder Tribute),1.0,['The Dream Team'],
605,Loneliness,['Flobots'],The Circle In The Square,10.0,['Flobots'],Tri5jsa3ojxrqg53brygqzeuxym
606,Duel Of The Iron Mic,"['GZA', ' Masta Killa', ' Dreddy Kruger', ' Inspectah Deck', ' Ol Dirty Bastard']",Liquid Swords,2.0,"['GZA', ' Masta Killa', ' Dreddy Kruger', ' Inspectah Deck', ' Ol Dirty Bastard']",Tt23mddsmm2q4xkhba6vxkzxm7q
607,Living In The World Today,['GZA'],Liquid Swords,3.0,['GZA'],Tnaudorprendwdtmjjp6lrfosam
608,Gold,['GZA'],Liquid Swords,4.0,['GZA'],Tdr3mtvbkxmukf7vxeifcwdkcoe
609,Cold World,"['GZA', ' Inspectah Deck']",Liquid Swords,5.0,"['GZA', ' Inspectah Deck']",Te6pee7uvthff4tozq2dpvth3zy
610,Labels,['GZA'],Liquid Swords,6.0,['GZA'],Tr7ugbp3m5xccwp7b7nuz3xi74m
611,4th Chamber,"['GZA', ' RZA', ' Ghostface Killah', ' Killah Priest']",Liquid Swords,7.0,"['GZA', ' RZA', ' Ghostface Killah', ' Killah Priest']",Trz477svyjn6ku7xvca2piv5wze
612,Shadowboxin',"['GZA', ' Method Man']",Liquid Swords,8.0,"['GZA', ' Method Man']",T72qsx37lmy3k6ymjdh225mgl5a
613,Hell's Wind Staff / Killah Hills 10304,['GZA'],Liquid Swords,9.0,['GZA'],Twzod52yl2znetgn52k4k23lccm
614,Investigative Reports,"['GZA', ' Raekwon', ' Ghostface Killah', ' U-God']",Liquid Swords,10.0,"['GZA', ' Raekwon', ' Ghostface Killah', ' U-God']",Tcjddckl4x7tmhutlkc6vfoqxsm
615,Swordsman,"['GZA', ' Killah Priest']",Liquid Swords,11.0,"['GZA', ' Killah Priest']",Tmxquukx5kcmh4qq6zcqtwob66a
616,B.I.B.L.E. (Basic Instructions Before Leaving Earth),"['GZA', ' Killah Priest']",Liquid Swords,13.0,"['GZA', ' Killah Priest']",Tx4pbqzg3c7yhtuapn22bnu22im
617,Don't You Worry Child - Radio Edit,"['Swedish House Mafia', ' John Martin']",Don't You Worry Child (feat. John Martin),1.0,"['Swedish House Mafia', ' John Martin']",Tf6lbybymki2ph6toc47jsoz2dm
618,I'll Keep On,"['NF', ' Jeremiah Carlson']",Mansion,11.0,"['NF', ' Jeremiah Carlson']",Tmtlqdgdwxdgd2dnj44bdgr76pi
619,Selfportrait,['Blue Scholars'],Blue Scholars,5.0,['Blue Scholars'],Tfj2rkzlxvi4lmqbt7zu4uqpqbe
620,Until The Nipples Gone,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",1.0,['Atmosphere'],Toozhp3s3mqnlovkhrz4pj7m3hm
621,The Major Leagues,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",2.0,['Atmosphere'],Tgjwswoqnrcdxlr475vk7rxbirm
622,Scalp,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",3.0,['Atmosphere'],Thd3lo2qdtlip4xpxmtd6ttronq
623,Americareful,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",5.0,['Atmosphere'],Tunvf57lujrld7twff7befhukqi
624,Hope,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",6.0,['Atmosphere'],T3uugxqytzw4fsorhhxqthjphau
625,Shotgun,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",8.0,['Atmosphere'],Twzbk2k7bkzjupijbux6m5mqua4
626,Commodities,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",9.0,['Atmosphere'],T3lldhrogdgfkwlbtd2wddzpcvy
627,The Number None,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",10.0,['Atmosphere'],T5sdqddlezbxgux3ukpfql2yh5m
628,Freefallin',['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",11.0,['Atmosphere'],T3yi3e4c3ndw4zttgwk2euli75u
629,To All My Friends,['Atmosphere'],"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",12.0,['Atmosphere'],Tto3zmxvjwqinnjbzr23ahmodfq
630,Sympathy For The Devil,['The Rolling Stones'],Beggars Banquet,1.0,['The Rolling Stones'],T6skkbvlhhlrxcsk6p5otkauqmm
631,Stairway to Heaven,['Rodrigo y Gabriela'],Rodrigo y Gabriela,6.0,['Rodrigo y Gabriela'],T3jd6bjgntyickqykjsajs7bpp4
632,Candela,['Manolo Sanlucar'],Candela,1.0,['Manolo Sanlucar'],Tgknhvamyotlcunrm63luvgupee
633,Am I A Psycho,['Tech N9ne'],All 6's And 7's,4.0,['Tech N9ne'],Txcrqlcirsfuqibiubrks2ighou
634,Hollow Moon (Bad Wolf),['AWOLNATION'],Hollow Moon (Bad Wolf),1.0,['AWOLNATION'],Thvxbvzia3tdabyllsrdft7fogi
635,Patience,['Nas & Damian Jr. Gong Marley'],Distant Relatives,11.0,['Nas & Damian Jr. Gong Marley'],Tdzhazfr2ff76kribif4fp2llfe
636,Charmed Life (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,1.0,['RJD2'],Txl7s3ex76fwxi22egnczgs6fdm
637,Just Love Me (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,2.0,['RJD2'],Ts3c7nt4qanbpkki6ppqxpzf324
638,Going and Going. And Going. (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,3.0,['RJD2'],Tiwauivdsgjqggt4sztovhj4tdy
639,King Tut (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,4.0,['RJD2'],Tr6u2rxurvzucfenyokqnkipcqm
640,King Tut (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,4.0,['RJD2'],Tr6u2rxurvzucfenyokqnkipcqm
641,Wander (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,5.0,['RJD2'],Txnux2cm3wrxumax7e6s7hdf5je
642,The Return of Tronson (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,6.0,['RJD2'],Ty7thyofmdzyaqfvbmgyd7or3qe
